"File size (in bytes, sample input, .in extension)",Master (method f),Slave (method f),Master (method m),Slave (method m)
4,0.7712,0.2513,0.4338,1.6079
9695,0.2554,0.47,0.3716,1.6836
1502860,8.3034,10.2201,5.9214,11.5755
577,0.1475,0.308,0.8359,0.3627
