"File size (in bytes, sample input, .in extension)",Master (method f),Slave (method f),Master (method m),Slave (method m)
4,0.0618,0.0605,0.0317,0.0468
9695,0.0843,0.698,0.6532,0.2291
1502860,8.2803,13.3495,7.7723,12.6573
577,0.342,0.1962,2.1817,0.7895
