"File size (in bytes, sample input, .in extension)",Master (method f),Slave (method f),Master (method m),Slave (method m)
4,0.0271,0.0323,0.022,0.5452
9695,0.5594,0.3188,0.5093,0.3756
1502860,6.1279,13.0579,6.7043,9.7628
577,0.0234,0.21,0.2434,0.0715
