"File size (in bytes, sample input, .in extension)",Master (method f),Slave (method f),Master (method m),Slave (method m)
4,0.618,0.32,0.0742,0.0519
9695,1.3312,0.6381,0.4087,0.1012
1502860,13.7193,13.7708,5.0837,4.7855
577,18.9267,18.76,0.1427,0.0399
